"Schema Version","Record Type","Source Name","Source URL","Canonical Startup Name","Primary Business Sector","Algorithmic Employee Count","Open Source Downloads (Traction)","Collected At"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/intfloat","intfloat","Sentence Transformers",223,12377202,"2026-09-17T03:46:08.817Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/hexgrad","hexgrad","Text To Speech",218,11751590,"2026-09-17T03:46:08.817Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/argmaxinc","argmaxinc","Whisperkit",214,11230874,"2026-09-17T03:46:08.818Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/Bingsu","Bingsu","Ultralytics",204,9812993,"2026-09-17T03:46:08.818Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/autogluon","autogluon","Chronos Forecasting",197,8970857,"2026-09-17T03:46:08.818Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/nvidia","nvidia","Text Generation",195,8739085,"2026-09-17T03:46:08.818Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/pyannote","pyannote","Pyannote Audio",193,8467858,"2026-09-17T03:46:08.818Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/laion","laion","Clap",189,8077041,"2026-09-17T03:46:08.818Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/farbodtavakkoli","farbodtavakkoli","Text Generation",185,7588109,"2026-09-17T03:46:08.818Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/coqui","coqui","Coqui",183,7446857,"2026-09-17T03:46:08.818Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/distilbert","distilbert","Tf",183,7410664,"2026-09-17T03:46:08.818Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/meta-llama","meta-llama","Text Generation",176,6731334,"2026-09-17T03:46:08.818Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/ibm-granite","ibm-granite","Sentence Transformers",173,6398398,"2026-09-17T03:46:08.818Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/ProsusAI","ProsusAI","Tf",163,5422679,"2026-09-17T03:46:08.819Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/ornith-ai","ornith-ai","Text Generation",161,5320513,"2026-09-17T03:46:08.819Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/lmstudio-community","lmstudio-community","Qwen3_5",157,4967722,"2026-09-17T03:46:08.819Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/microsoft","microsoft","Tf",157,4963299,"2026-09-17T03:46:08.819Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/dphn","dphn","Text Generation",156,4838392,"2026-09-17T03:46:08.819Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/MiniMaxAI","MiniMaxAI","Audio Video Generation",154,4689062,"2026-09-17T03:46:08.819Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/answerdotai","answerdotai","Onnx",152,4549984,"2026-09-17T03:46:08.819Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/deepseek-ai","deepseek-ai","Text Generation",151,4478931,"2026-09-17T03:46:08.819Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/datasocietyco","datasocietyco","Sentence Transformers",148,4265758,"2026-09-17T03:46:08.819Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/audio-cpp","audio-cpp","Audio.Cpp",142,3800350,"2026-09-17T03:46:08.819Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/dbmdz","dbmdz","Tf",141,3733318,"2026-09-17T03:46:08.819Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/E-MIMIC","E-MIMIC","Text2text Generation",139,3594477,"2026-09-17T03:46:08.819Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/Falconsai","Falconsai","Vit",138,3546880,"2026-09-17T03:46:08.820Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/EleutherAI","EleutherAI","Text Generation",137,3481125,"2026-09-17T03:46:08.820Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/cdiamond","cdiamond","Gguf",135,3307312,"2026-09-17T03:46:08.820Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/charactr","charactr","Arxiv:2306.00814",133,3229216,"2026-09-17T03:46:08.820Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/RadixArk","RadixArk","Text Generation",133,3184694,"2026-09-17T03:46:08.820Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/cardiffnlp","cardiffnlp","Tf",132,3170579,"2026-09-17T03:46:08.820Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/biohub","biohub","Esmc",128,2879917,"2026-09-17T03:46:08.820Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/datalab-to","datalab-to","Qwen3_5",128,2877505,"2026-09-17T03:46:08.820Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/Xenova","Xenova","Transformers.Js",127,2831733,"2026-09-17T03:46:08.820Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/huihui-ai","huihui-ai","Gguf",127,2828411,"2026-09-17T03:46:08.820Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/iitolstykh","iitolstykh","Mivolo",125,2753109,"2026-09-17T03:46:08.820Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/indonesian-nlp","indonesian-nlp","Wav2vec2",125,2723959,"2026-09-17T03:46:08.820Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/stabilityai","stabilityai","Diffusers",125,2721150,"2026-09-17T03:46:08.820Z"
"1.0","STARTUP","Hugging Face Organizations","https://huggingface.co/Systran","Systran","Ctranslate2",125,2718501,"2026-09-17T03:46:08.821Z"
