"Schema Version","Record Type","Paper Title","Authors","Paper URL","Associated GitHub URL","GitHub Stars","Published Date"
"1.0","RESEARCH_PAPER","Phorecaster365: A Human-Supervised Reference Architecture for Hybrid Pharmaceutical Sales Forecasting and Planning Decision Support","Houman Kazemzadeh, Kamyar Naderi","http://arxiv.org/abs/2609.13907v1","N/A",0,"2026-09-12T12:31:17Z"
"1.0","RESEARCH_PAPER","SkyAnchor: Updating Metric-scale Aerial 3D Gaussian Scenes from Unposed Ground-View Sequences","Zhuoxiao Li, Xinyi Liu, Taoyu Wu, Yinrui Ren, Tongyan Hua, Ou Jing, Shuai Zhang, Dongli Wu, Rongjun Qin, Ge Lin Kan, Wufan Zhao","http://arxiv.org/abs/2609.13903v1","N/A",0,"2026-09-12T12:20:25Z"
"1.0","RESEARCH_PAPER","HQARRF: Hierarchical Q-learning and Force-aware Routing for Multi-Charger Scheduling in Wireless Rechargeable Sensor Networks","Liang-Ching Tao, Pi-Chung Wang","http://arxiv.org/abs/2609.13901v1","N/A",0,"2026-09-12T12:17:54Z"
"1.0","RESEARCH_PAPER","Lie to me: Detecting Managerial Evasiveness in Earnings Calls via Conversational Audio Encoders","Huizhong Chen, Huan Zhang","http://arxiv.org/abs/2609.13893v1","N/A",0,"2026-09-12T11:42:53Z"
"1.0","RESEARCH_PAPER","CyclOT: Learning Quadratic Optimal Transport Maps via Synchronized Forward-Backward Interpolants","Shizhou Xu, Jiachen Liu, Shih-Hsin Wang, Stefan Broecker, Yuhao Huang, Bao Wang, Thomas Strohmer","http://arxiv.org/abs/2609.13892v1","N/A",0,"2026-09-12T11:31:53Z"
"1.0","RESEARCH_PAPER","When Malicious Instructions Persist: Persistent Memory Poisoning Attack on Harness-Based Agents","Shuhuai Huang, Jingfeng Zhang, Hong Jia","http://arxiv.org/abs/2609.13889v1","N/A",0,"2026-09-12T11:27:53Z"
"1.0","RESEARCH_PAPER","Map Users and Mapmakers: The Scope of Cognitive Attribution from Acquired Representations","Yiling Wu","http://arxiv.org/abs/2609.13879v1","N/A",0,"2026-09-12T11:04:44Z"
"1.0","RESEARCH_PAPER","A Multi-Resolution Multi-Domain Pre-Training Framework for Universal Traffic Forecasting","Zhouyang Liu, Jindong Han, Hao Wang, Xinyue Liu, Hui Gao, Dongsheng Li, Hao Liu","http://arxiv.org/abs/2609.13878v1","N/A",0,"2026-09-12T11:04:04Z"
"1.0","RESEARCH_PAPER","Generation of Custom Solvers in Rust for Convex Optimization","Hao Zhu, Joschka Boedecker","http://arxiv.org/abs/2609.13875v1","N/A",0,"2026-09-12T11:00:05Z"
"1.0","RESEARCH_PAPER","Trustworthy, Explainable, and Sustainable Decentralized Intelligence for 6G Networks","Giovanni Perin, Michele Rossi, Enrique Tomás Martínez Beltrán, Fernando Torres-Vega, José María Jorquera Valero, Manuel Gil Pérez, Eunjeong Jeong, Nikolaos Pappas, Farah Abed Zadeh, Chamara Sandeepa, Bartlomiej Siniarski, Madhusanka Liyanage, Betül Güvenç Paltun, Leyli Karaçay, Ioannis Pitsiorlas, Marios Kountouris","http://arxiv.org/abs/2609.13872v1","N/A",0,"2026-09-12T10:52:53Z"
"1.0","RESEARCH_PAPER","Bangla Sentence Function Classification: Corpus Development, Model Benchmarking, and Interpretability","Swapnil Kundu Argha, Abdullah Al Shafi, Rowzatul Zannat, Shoumik Barman Polok, Abdul Muntakim, Jannatul Ferdousi, M. A. Moyeen","http://arxiv.org/abs/2609.13869v1","https://github.com/LbsTempest/Daily-ArXiv-Subscription",4,"2026-09-12T10:45:24Z"
"1.0","RESEARCH_PAPER","Physically Typed and Geometry-Aware Representations for Earth Foundation Models","Rajiv Ranjan","http://arxiv.org/abs/2609.13868v1","https://github.com/exopoiesis/arxiv-radar-physics",1,"2026-09-12T10:42:59Z"
"1.0","RESEARCH_PAPER","From Network Inequality to Network Fairness: A Perspective on Responsible Decision-Making","Lisette Espín-Noboa, Tina Eliassi-Rad, Pak-Hang Wong, Erich Prem, Meike Zehlike, Ricardo Baeza-Yates, Suresh Venkatasubramanian, Fariba Karimi","http://arxiv.org/abs/2609.13867v1","N/A",0,"2026-09-12T10:38:52Z"
"1.0","RESEARCH_PAPER","The Filter Metric is Safety-Critical: Phantom Advantages in Group-Relative RL under Shaped Rewards","Juntao Yu","http://arxiv.org/abs/2609.13866v1","https://github.com/RLCL-EIT/robotics_arxiv_daily",1,"2026-09-12T10:36:55Z"
"1.0","RESEARCH_PAPER","An Uncertainty-Aware Hybrid Mathematical-Machine-Learning Model for Smart Irrigation Decision Support","Andrea Scariolo","http://arxiv.org/abs/2609.13864v1","https://github.com/exopoiesis/arxiv-radar-physics",1,"2026-09-12T10:34:16Z"
